T26,Population employed in research and development (R&D),,,,,
112,Belarus,2005,R & D personnel: Researchers - women (number in full-time equivalent),"7,897",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,112",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,763",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2010,R & D personnel: Total (number in full-time equivalent),"31,712",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2010,R & D personnel: Researchers - total (number in full-time equivalent),"19,879",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2010,R & D personnel: Researchers - women (number in full-time equivalent),"8,392",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,248",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,585",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2016,R & D personnel: Total (number in full-time equivalent),"25,942",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2016,R & D personnel: Researchers - total (number in full-time equivalent),"16,879",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2016,R & D personnel: Researchers - women (number in full-time equivalent),"6,686",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2016,R & D personnel: Technicians - total (number in full-time equivalent),"1,618",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
112,Belarus,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,445",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Total (number in full-time equivalent),"53,517",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Researchers - total (number in full-time equivalent),"33,146",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Researchers - women (number in full-time equivalent),"9,769",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Technicians - total (number in full-time equivalent),"15,047",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Technicians - women (number in full-time equivalent),"4,585",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,324",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,702",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Total (number in full-time equivalent),"60,075",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Researchers - total (number in full-time equivalent),"40,832",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Researchers - women (number in full-time equivalent),"12,962",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Technicians - total (number in full-time equivalent),"14,401",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Technicians - women (number in full-time equivalent),"5,079",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,841",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,517",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2011,R & D personnel: Total (number in full-time equivalent),"62,895",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
56,Belgium,2011,R & D personnel: Researchers - total (number in full-time equivalent),"42,686",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
