T04,International migrants and refugees,,,,,
419,Latin America & the Caribbean,2017,International migrant stock: Both sexes (number),"9,508,189",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
419,Latin America & the Caribbean,2017,Total refugees and people in refugee-like situations (number),"323,973",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2017,"Asylum seekers, including pending cases (number)","117,507",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2017,Other of concern to UNHCR (number),"7,774,202",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
419,Latin America & the Caribbean,2017,Total population of concern to UNHCR (number),"8,215,682",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
29,Caribbean,2005,International migrant stock: Both sexes (number),"1,333,118",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2005,International migrant stock: Both sexes (% total population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2005,International migrant stock: Male (% total Population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2005,International migrant stock: Female (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2010,International migrant stock: Both sexes (number),"1,353,589",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2010,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2010,International migrant stock: Female (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2015,International migrant stock: Both sexes (number),"1,385,784",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2015,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2015,International migrant stock: Male (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2015,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2017,International migrant stock: Both sexes (number),"1,399,747",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2017,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2017,International migrant stock: Male (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
29,Caribbean,2017,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
13,Central America,2005,International migrant stock: Both sexes (number),"1,385,713",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
