[T12.],Intentional homicides and other crimes,,,,,
36,Australia,2005,"Percentage of male and female intentional homicide victims, Male",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2005,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2005,"Theft at the national level, rate per 100,000 population","2,561.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Assault rate per 100,000 population",310.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Kidnapping at the national level, rate per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Theft at the national level, rate per 100,000 population","2,157.6",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Robbery at the national level, rate per 100,000 population",66.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2010,"Total Sexual Violence at the national level, rate per 100,000",85.1,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Percentage of male and female intentional homicide victims, Male",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Assault rate per 100,000 population",284.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Kidnapping at the national level, rate per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Theft at the national level, rate per 100,000 population","2,357.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Robbery at the national level, rate per 100,000 population",37.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2015,"Total Sexual Violence at the national level, rate per 100,000",89.2,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Assault rate per 100,000 population",293.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Kidnapping at the national level, rate per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Theft at the national level, rate per 100,000 population","2,460.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
36,Australia,2016,"Robbery at the national level, rate per 100,000 population",39.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Percentage of male and female intentional homicide victims, Female",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Assault rate per 100,000 population",43.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Theft at the national level, rate per 100,000 population","2,144.8",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Robbery at the national level, rate per 100,000 population",57.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2005,"Total Sexual Violence at the national level, rate per 100,000",20.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Assault rate per 100,000 population",42.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Theft at the national level, rate per 100,000 population","1,853.2",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Robbery at the national level, rate per 100,000 population",51.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2010,"Total Sexual Violence at the national level, rate per 100,000",39.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Percentage of male and female intentional homicide victims, Male",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Percentage of male and female intentional homicide victims, Female",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Assault rate per 100,000 population",35.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Theft at the national level, rate per 100,000 population","1,616.1",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Robbery at the national level, rate per 100,000 population",39.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2015,"Total Sexual Violence at the national level, rate per 100,000",39.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Percentage of male and female intentional homicide victims, Male",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Percentage of male and female intentional homicide victims, Female",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Assault rate per 100,000 population",37.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Kidnapping at the national level, rate per 100,000",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Theft at the national level, rate per 100,000 population","1,649.9",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
40,Austria,2016,"Robbery at the national level, rate per 100,000 population",35.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Assault rate per 100,000 population",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Theft at the national level, rate per 100,000 population",25.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
31,Azerbaijan,2005,"Robbery at the national level, rate per 100,000 population",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
